AgentID,AgentName,AgentType,AgentStartDate,AgentStatus,LocationID
101,Agent 00001,Banking Agent,2023-11-22,Active,14
102,Agent 00002,Merchant Agent,2025-02-27,Active,15
103,Agent 00003,Standard Agent,2024-02-27,Active,47
104,Agent 00004,Standard Agent,2024-06-20,Active,58
105,Agent 00005,Standard Agent,2025-05-30,Active,40
106,Agent 00006,Banking Agent,2023-09-06,Active,73
107,Agent 00007,Standard Agent,2025-05-20,Active,42
108,Agent 00008,Standard Agent,2024-10-09,Active,80
109,Agent 00009,Standard Agent,2025-01-27,Active,23
110,Agent 00010,Merchant Agent,2024-11-14,Active,72
111,Agent 00011,Standard Agent,2023-09-06,Active,24
112,Agent 00012,Standard Agent,2025-06-15,Inactive,6
113,Agent 00013,Merchant Agent,2023-11-13,Inactive,92
114,Agent 00014,Merchant Agent,2023-02-02,Active,25
115,Agent 00015,Super Agent,2025-01-18,Active,78
116,Agent 00016,Standard Agent,2023-03-11,Active,3
117,Agent 00017,Standard Agent,2024-08-25,Active,92
118,Agent 00018,Standard Agent,2023-02-12,Active,63
119,Agent 00019,Merchant Agent,2024-01-23,Active,60
120,Agent 00020,Standard Agent,2024-05-10,Active,39
121,Agent 00021,Standard Agent,2023-03-07,Active,13
122,Agent 00022,Merchant Agent,2024-12-13,Inactive,40
123,Agent 00023,Standard Agent,2024-05-05,Active,29
124,Agent 00024,Standard Agent,2023-04-24,Active,63
125,Agent 00025,Standard Agent,2024-06-28,Inactive,102
126,Agent 00026,Merchant Agent,2023-02-18,Active,99
127,Agent 00027,Banking Agent,2023-01-31,Active,47
128,Agent 00028,Standard Agent,2024-11-15,Active,9
129,Agent 00029,Standard Agent,2025-02-27,Active,4
130,Agent 00030,Standard Agent,2024-05-15,Inactive,40
131,Agent 00031,Merchant Agent,2025-09-26,Active,91
132,Agent 00032,Standard Agent,2023-10-11,Active,11
133,Agent 00033,Merchant Agent,2024-06-10,Active,38
134,Agent 00034,Standard Agent,2023-09-25,Active,48
135,Agent 00035,Standard Agent,2024-11-23,Inactive,20
136,Agent 00036,Banking Agent,2025-08-31,Active,57
137,Agent 00037,Standard Agent,2025-04-02,Active,39
138,Agent 00038,Merchant Agent,2023-04-20,Inactive,93
139,Agent 00039,Standard Agent,2023-07-16,Active,45
140,Agent 00040,Banking Agent,2023-08-21,Active,68
141,Agent 00041,Standard Agent,2024-10-04,Active,82
142,Agent 00042,Banking Agent,2025-08-07,Active,82
143,Agent 00043,Standard Agent,2023-02-15,Active,44
144,Agent 00044,Standard Agent,2024-02-25,Active,84
145,Agent 00045,Standard Agent,2025-06-11,Active,22
146,Agent 00046,Standard Agent,2024-11-27,Active,24
147,Agent 00047,Super Agent,2024-12-03,Active,76
148,Agent 00048,Standard Agent,2025-01-22,Active,94
149,Agent 00049,Merchant Agent,2025-03-04,Active,93
150,Agent 00050,Standard Agent,2024-04-27,Active,96
151,Agent 00051,Standard Agent,2025-01-19,Active,77
152,Agent 00052,Standard Agent,2023-08-27,Inactive,95
153,Agent 00053,Merchant Agent,2023-01-28,Active,98
154,Agent 00054,Standard Agent,2023-11-17,Active,28
155,Agent 00055,Banking Agent,2025-06-27,Active,21
156,Agent 00056,Merchant Agent,2025-05-18,Active,68
157,Agent 00057,Standard Agent,2024-03-15,Active,37
158,Agent 00058,Merchant Agent,2023-02-01,Inactive,7
159,Agent 00059,Super Agent,2024-11-14,Active,79
160,Agent 00060,Standard Agent,2024-08-08,Active,32
161,Agent 00061,Banking Agent,2023-11-06,Active,27
162,Agent 00062,Standard Agent,2025-06-09,Active,22
163,Agent 00063,Standard Agent,2023-10-31,Active,7
164,Agent 00064,Merchant Agent,2023-12-26,Active,56
165,Agent 00065,Standard Agent,2024-03-28,Active,59
166,Agent 00066,Standard Agent,2025-01-07,Active,46
167,Agent 00067,Standard Agent,2023-11-14,Inactive,102
168,Agent 00068,Standard Agent,2025-03-21,Active,9
169,Agent 00069,Super Agent,2024-06-13,Active,29
170,Agent 00070,Standard Agent,2023-06-16,Active,81
171,Agent 00071,Standard Agent,2025-05-13,Active,14
172,Agent 00072,Merchant Agent,2024-06-06,Active,49
173,Agent 00073,Standard Agent,2023-03-15,Active,81
174,Agent 00074,Standard Agent,2025-06-30,Active,94
175,Agent 00075,Standard Agent,2025-08-07,Active,87
176,Agent 00076,Standard Agent,2024-10-16,Active,55
177,Agent 00077,Standard Agent,2025-01-11,Active,57
178,Agent 00078,Standard Agent,2025-05-02,Active,74
179,Agent 00079,Standard Agent,2025-06-03,Active,69
180,Agent 00080,Standard Agent,2024-03-12,Active,79
181,Agent 00081,Banking Agent,2023-02-20,Inactive,101
182,Agent 00082,Standard Agent,2025-02-14,Active,95
183,Agent 00083,Banking Agent,2023-05-21,Active,99
184,Agent 00084,Standard Agent,2023-07-31,Active,81
185,Agent 00085,Standard Agent,2023-08-20,Active,15
186,Agent 00086,Super Agent,2023-01-21,Active,43
187,Agent 00087,Standard Agent,2025-04-12,Active,56
188,Agent 00088,Super Agent,2024-09-11,Active,99
189,Agent 00089,Merchant Agent,2025-09-14,Inactive,63
190,Agent 00090,Merchant Agent,2024-08-11,Active,102
191,Agent 00091,Standard Agent,2025-08-08,Active,65
192,Agent 00092,Standard Agent,2023-06-02,Active,26
193,Agent 00093,Standard Agent,2024-01-17,Active,97
194,Agent 00094,Super Agent,2023-11-19,Active,93
195,Agent 00095,Standard Agent,2023-04-29,Suspended,46
196,Agent 00096,Banking Agent,2025-09-26,Active,27
197,Agent 00097,Standard Agent,2025-06-06,Active,101
198,Agent 00098,Super Agent,2024-05-13,Inactive,19
199,Agent 00099,Standard Agent,2023-09-19,Active,83
200,Agent 00100,Standard Agent,2024-05-28,Active,78
201,Agent 00101,Standard Agent,2024-05-03,Active,3
202,Agent 00102,Standard Agent,2024-10-18,Active,33
203,Agent 00103,Standard Agent,2023-11-11,Inactive,7
204,Agent 00104,Banking Agent,2025-07-24,Active,98
205,Agent 00105,Standard Agent,2023-01-08,Active,22
206,Agent 00106,Standard Agent,2023-12-29,Active,29
207,Agent 00107,Banking Agent,2025-07-19,Active,65
208,Agent 00108,Banking Agent,2025-01-20,Suspended,27
209,Agent 00109,Merchant Agent,2025-01-17,Active,29
210,Agent 00110,Standard Agent,2023-05-03,Active,81
211,Agent 00111,Standard Agent,2024-11-16,Active,19
212,Agent 00112,Standard Agent,2023-06-24,Active,18
213,Agent 00113,Standard Agent,2025-04-09,Active,82
214,Agent 00114,Standard Agent,2024-04-13,Active,42
215,Agent 00115,Standard Agent,2024-01-25,Active,46
216,Agent 00116,Merchant Agent,2023-01-02,Active,90
217,Agent 00117,Standard Agent,2024-04-26,Active,40
218,Agent 00118,Super Agent,2023-02-17,Active,3
219,Agent 00119,Standard Agent,2023-01-10,Active,86
220,Agent 00120,Standard Agent,2023-09-03,Active,80
221,Agent 00121,Super Agent,2025-08-03,Active,15
222,Agent 00122,Merchant Agent,2024-06-27,Active,18
223,Agent 00123,Standard Agent,2024-09-12,Active,46
224,Agent 00124,Standard Agent,2024-03-30,Active,39
225,Agent 00125,Standard Agent,2025-01-28,Active,45
226,Agent 00126,Standard Agent,2024-08-23,Active,64
227,Agent 00127,Super Agent,2024-02-11,Active,26
228,Agent 00128,Standard Agent,2025-02-11,Active,65
229,Agent 00129,Standard Agent,2025-08-26,Active,52
