CustomerID,CustomerSegment,AgeGroup,Gender
1001,Emerging,18-24,Male
1002,Mass Market,35-44,Female
1003,Affluent,18-24,Male
1004,Mass Market,25-34,Male
1005,Mass Market,25-34,Female
1006,Mass Market,25-34,Female
1007,Affluent,18-24,Female
1008,Emerging,25-34,Male
1009,Business,25-34,Male
1010,Mass Market,45-54,Female
1011,Affluent,35-44,Female
1012,Business,25-34,Female
1013,Affluent,35-44,Female
1014,Emerging,35-44,Male
1015,Mass Market,25-34,Male
1016,Mass Market,18-24,Male
1017,Emerging,25-34,Male
1018,Mass Market,25-34,Female
1019,Emerging,35-44,Male
1020,Emerging,18-24,Male
1021,Business,35-44,Female
1022,Emerging,45-54,Female
1023,Mass Market,18-24,Male
1024,Mass Market,25-34,Female
1025,Affluent,25-34,Female
1026,Mass Market,55+,Male
1027,Mass Market,25-34,Female
1028,Mass Market,35-44,Female
1029,Mass Market,25-34,Female
1030,Mass Market,18-24,Male
1031,Mass Market,35-44,Female
1032,Mass Market,18-24,Male
1033,Business,35-44,Female
1034,Affluent,18-24,Female
1035,Emerging,35-44,Male
1036,Emerging,18-24,Male
1037,Mass Market,55+,Female
1038,Mass Market,35-44,Male
1039,Affluent,45-54,Male
1040,Emerging,35-44,Male
1041,Emerging,35-44,Female
1042,Mass Market,18-24,Male
1043,Mass Market,55+,Female
1044,Affluent,25-34,Male
1045,Affluent,55+,Male
1046,Mass Market,18-24,Female
1047,Emerging,18-24,Male
1048,Mass Market,25-34,Female
1049,Mass Market,25-34,Female
1050,Emerging,25-34,Male
1051,Business,35-44,Male
1052,Mass Market,18-24,Male
1053,Mass Market,35-44,Male
1054,Mass Market,18-24,Female
1055,Mass Market,55+,Female
1056,Mass Market,25-34,Female
1057,Mass Market,18-24,Female
1058,Emerging,25-34,Female
1059,Affluent,25-34,Male
1060,Mass Market,25-34,Male
1061,Emerging,35-44,Female
1062,Mass Market,25-34,Male
1063,Affluent,25-34,Male
1064,Mass Market,25-34,Male
1065,Mass Market,55+,Male
1066,Affluent,35-44,Male
1067,Business,45-54,Female
1068,Affluent,45-54,Male
1069,Mass Market,25-34,Male
1070,Mass Market,25-34,Female
1071,Mass Market,45-54,Male
1072,Mass Market,55+,Female
1073,Emerging,35-44,Male
1074,Mass Market,55+,Female
1075,Mass Market,35-44,Male
1076,Emerging,35-44,Female
1077,Mass Market,55+,Male
1078,Mass Market,35-44,Female
1079,Mass Market,18-24,Female
1080,Mass Market,35-44,Female
1081,Mass Market,35-44,Female
1082,Affluent,25-34,Female
1083,Mass Market,25-34,Female
1084,Mass Market,25-34,Female
1085,Mass Market,25-34,Female
1086,Business,18-24,Male
1087,Mass Market,55+,Female
1088,Affluent,25-34,Male
1089,Affluent,35-44,Female
1090,Business,35-44,Male
1091,Affluent,25-34,Female
1092,Affluent,18-24,Male
1093,Mass Market,35-44,Male
1094,Emerging,35-44,Male
1095,Emerging,25-34,Male
1096,Affluent,45-54,Male
1097,Mass Market,25-34,Male
1098,Emerging,35-44,Male
1099,Emerging,35-44,Male
1100,Mass Market,18-24,Female
1101,Affluent,35-44,Female
1102,Emerging,18-24,Male
1103,Mass Market,45-54,Female
1104,Affluent,45-54,Male
1105,Mass Market,18-24,Female
1106,Affluent,25-34,Female
1107,Mass Market,55+,Female
1108,Business,45-54,Female
1109,Mass Market,35-44,Male
1110,Affluent,45-54,Female
1111,Affluent,25-34,Female
1112,Mass Market,45-54,Female
1113,Mass Market,45-54,Male
1114,Mass Market,45-54,Male
1115,Mass Market,25-34,Male
1116,Affluent,55+,Male
1117,Emerging,25-34,Female
1118,Mass Market,55+,Male
1119,Business,18-24,Female
1120,Mass Market,18-24,Male
1121,Emerging,25-34,Female
1122,Mass Market,25-34,Female
1123,Mass Market,35-44,Male
1124,Affluent,35-44,Female
1125,Emerging,35-44,Male
1126,Mass Market,35-44,Male
1127,Mass Market,45-54,Female
1128,Mass Market,25-34,Male
1129,Mass Market,25-34,Male
1130,Mass Market,55+,Female
1131,Affluent,35-44,Male
1132,Mass Market,18-24,Male
1133,Mass Market,35-44,Female
1134,Mass Market,25-34,Male
1135,Mass Market,55+,Female
1136,Mass Market,18-24,Female
1137,Emerging,25-34,Female
1138,Emerging,35-44,Male
1139,Mass Market,18-24,Male
1140,Mass Market,45-54,Male
1141,Mass Market,35-44,Male
1142,Emerging,25-34,Male
1143,Emerging,18-24,Female
1144,Emerging,18-24,Male
1145,Mass Market,55+,Female
1146,Mass Market,25-34,Female
1147,Mass Market,45-54,Female
1148,Business,35-44,Female
1149,Affluent,35-44,Female
1150,Mass Market,45-54,Female
1151,Affluent,35-44,Male
1152,Mass Market,25-34,Female
1153,Emerging,35-44,Female
1154,Mass Market,18-24,Male
1155,Mass Market,25-34,Female
1156,Mass Market,25-34,Female
1157,Emerging,18-24,Male
1158,Mass Market,25-34,Male
1159,Mass Market,55+,Female
1160,Emerging,45-54,Female
1161,Mass Market,18-24,Male
1162,Emerging,45-54,Female
1163,Mass Market,35-44,Female
1164,Emerging,25-34,Male
1165,Mass Market,18-24,Male
1166,Emerging,25-34,Male
1167,Mass Market,18-24,Female
1168,Mass Market,25-34,Female
1169,Mass Market,35-44,Male
1170,Mass Market,18-24,Male
1171,Mass Market,25-34,Female
1172,Mass Market,45-54,Female
1173,Mass Market,18-24,Male
1174,Mass Market,55+,Male
1175,Emerging,45-54,Female
1176,Emerging,55+,Male
1177,Mass Market,18-24,Male
1178,Emerging,35-44,Male
1179,Emerging,45-54,Male
1180,Emerging,35-44,Male
1181,Affluent,55+,Male
1182,Mass Market,25-34,Female
1183,Business,25-34,Female
1184,Mass Market,35-44,Female
1185,Mass Market,45-54,Female
1186,Emerging,18-24,Female
1187,Emerging,25-34,Male
1188,Mass Market,35-44,Male
1189,Affluent,45-54,Male
1190,Business,35-44,Female
1191,Emerging,25-34,Female
1192,Business,25-34,Female
1193,Mass Market,25-34,Male
1194,Emerging,25-34,Female
1195,Affluent,18-24,Female
1196,Mass Market,25-34,Female
1197,Mass Market,18-24,Female
1198,Mass Market,25-34,Female
1199,Mass Market,45-54,Female
1200,Mass Market,18-24,Female
1201,Mass Market,35-44,Male
1202,Emerging,35-44,Female
1203,Mass Market,45-54,Male
1204,Mass Market,35-44,Male
1205,Emerging,25-34,Female
1206,Mass Market,35-44,Male
1207,Emerging,25-34,Male
1208,Mass Market,25-34,Male
1209,Mass Market,45-54,Male
1210,Mass Market,25-34,Female
1211,Business,35-44,Male
1212,Mass Market,25-34,Male
1213,Mass Market,18-24,Female
1214,Mass Market,55+,Female
1215,Emerging,18-24,Female
1216,Mass Market,45-54,Female
1217,Mass Market,25-34,Male
1218,Mass Market,55+,Male
1219,Affluent,25-34,Male
1220,Emerging,18-24,Male
1221,Emerging,25-34,Female
1222,Mass Market,45-54,Female
1223,Emerging,25-34,Female
1224,Mass Market,25-34,Female
1225,Business,25-34,Female
1226,Emerging,35-44,Female
1227,Mass Market,25-34,Female
1228,Mass Market,18-24,Male
1229,Mass Market,25-34,Female
1230,Mass Market,25-34,Female
1231,Emerging,25-34,Female
1232,Affluent,45-54,Female
1233,Emerging,55+,Male
1234,Mass Market,35-44,Female
1235,Affluent,18-24,Male
1236,Mass Market,35-44,Female
1237,Mass Market,18-24,Female
1238,Emerging,55+,Male
1239,Mass Market,18-24,Male
1240,Mass Market,25-34,Male
1241,Mass Market,55+,Female
1242,Emerging,55+,Female
1243,Emerging,25-34,Male
1244,Emerging,25-34,Female
1245,Affluent,25-34,Female
1246,Emerging,25-34,Male
1247,Mass Market,25-34,Female
1248,Affluent,25-34,Female
1249,Mass Market,55+,Female
1250,Emerging,25-34,Male
1251,Mass Market,55+,Male
1252,Mass Market,55+,Female
1253,Mass Market,25-34,Male
1254,Mass Market,45-54,Female
1255,Emerging,25-34,Female
1256,Affluent,25-34,Female
1257,Mass Market,55+,Female
1258,Mass Market,18-24,Female
1259,Emerging,18-24,Female
1260,Affluent,25-34,Male
1261,Affluent,25-34,Female
1262,Mass Market,25-34,Female
1263,Business,25-34,Female
1264,Mass Market,55+,Male
1265,Affluent,45-54,Male
1266,Emerging,25-34,Female
1267,Mass Market,45-54,Male
1268,Mass Market,35-44,Female
1269,Mass Market,18-24,Female
1270,Mass Market,35-44,Female
1271,Mass Market,25-34,Male
1272,Emerging,35-44,Male
1273,Emerging,18-24,Female
1274,Emerging,45-54,Male
1275,Emerging,45-54,Female
1276,Mass Market,18-24,Male
1277,Emerging,45-54,Female
1278,Mass Market,35-44,Male
1279,Emerging,25-34,Female
1280,Mass Market,25-34,Female
1281,Mass Market,35-44,Female
1282,Affluent,45-54,Female
1283,Mass Market,25-34,Female
1284,Emerging,45-54,Male
1285,Mass Market,35-44,Female
1286,Business,35-44,Male
1287,Mass Market,35-44,Female
1288,Mass Market,35-44,Female
1289,Mass Market,45-54,Male
1290,Mass Market,18-24,Female
1291,Emerging,45-54,Male
1292,Mass Market,45-54,Female
1293,Mass Market,55+,Male
1294,Mass Market,25-34,Male
1295,Mass Market,45-54,Female
1296,Emerging,18-24,Male
1297,Mass Market,35-44,Female
1298,Mass Market,25-34,Female
1299,Mass Market,25-34,Male
1300,Mass Market,35-44,Female
1301,Business,25-34,Female
1302,Emerging,25-34,Female
1303,Emerging,35-44,Male
1304,Emerging,25-34,Female
1305,Mass Market,45-54,Female
1306,Mass Market,35-44,Female
1307,Emerging,35-44,Female
1308,Affluent,35-44,Female
1309,Emerging,25-34,Male
1310,Emerging,35-44,Male
1311,Mass Market,35-44,Male
1312,Mass Market,35-44,Female
1313,Mass Market,55+,Female
1314,Mass Market,45-54,Male
1315,Affluent,35-44,Male
1316,Mass Market,55+,Male
1317,Business,45-54,Female
1318,Business,55+,Female
1319,Mass Market,45-54,Male
1320,Mass Market,25-34,Female
1321,Emerging,35-44,Female
1322,Affluent,18-24,Male
1323,Mass Market,45-54,Female
1324,Affluent,25-34,Male
1325,Affluent,55+,Male
1326,Mass Market,18-24,Female
1327,Mass Market,25-34,Male
1328,Affluent,18-24,Male
1329,Emerging,35-44,Female
1330,Mass Market,35-44,Male
1331,Mass Market,18-24,Male
1332,Mass Market,55+,Male
1333,Mass Market,25-34,Female
1334,Affluent,18-24,Female
1335,Mass Market,55+,Male
1336,Mass Market,25-34,Male
1337,Affluent,25-34,Female
1338,Emerging,35-44,Male
1339,Emerging,25-34,Male
1340,Emerging,18-24,Female
1341,Mass Market,25-34,Female
1342,Mass Market,18-24,Female
1343,Mass Market,45-54,Male
1344,Mass Market,25-34,Male
1345,Emerging,18-24,Male
1346,Emerging,25-34,Male
1347,Mass Market,18-24,Female
1348,Mass Market,35-44,Male
1349,Emerging,35-44,Male
1350,Mass Market,55+,Male
1351,Emerging,45-54,Female
1352,Mass Market,55+,Male
1353,Mass Market,25-34,Female
1354,Mass Market,55+,Male
1355,Mass Market,35-44,Male
1356,Mass Market,35-44,Female
1357,Mass Market,55+,Female
1358,Mass Market,35-44,Male
1359,Emerging,45-54,Female
1360,Emerging,35-44,Male
1361,Mass Market,25-34,Male
1362,Mass Market,25-34,Male
1363,Mass Market,35-44,Male
1364,Mass Market,55+,Male
1365,Affluent,18-24,Male
1366,Emerging,45-54,Female
1367,Emerging,35-44,Male
1368,Mass Market,25-34,Female
1369,Emerging,45-54,Female
1370,Business,35-44,Male
1371,Emerging,25-34,Female
1372,Mass Market,18-24,Female
1373,Mass Market,45-54,Female
1374,Affluent,45-54,Female
1375,Affluent,35-44,Female
1376,Mass Market,55+,Female
1377,Mass Market,25-34,Female
1378,Mass Market,25-34,Male
1379,Affluent,35-44,Male
1380,Mass Market,35-44,Male
1381,Emerging,25-34,Male
1382,Mass Market,25-34,Female
1383,Emerging,35-44,Male
1384,Mass Market,18-24,Female
1385,Emerging,25-34,Female
1386,Mass Market,25-34,Male
1387,Emerging,18-24,Male
1388,Mass Market,35-44,Male
1389,Emerging,18-24,Male
1390,Emerging,18-24,Male
1391,Mass Market,18-24,Male
1392,Mass Market,18-24,Female
1393,Mass Market,25-34,Female
1394,Mass Market,45-54,Female
1395,Mass Market,45-54,Male
1396,Mass Market,55+,Female
1397,Emerging,35-44,Female
1398,Mass Market,18-24,Male
1399,Mass Market,45-54,Female
1400,Affluent,55+,Male
1401,Affluent,25-34,Female
1402,Mass Market,25-34,Male
1403,Mass Market,25-34,Male
1404,Mass Market,18-24,Male
1405,Affluent,25-34,Female
1406,Affluent,45-54,Male
1407,Mass Market,25-34,Female
1408,Emerging,35-44,Male
1409,Emerging,25-34,Female
1410,Emerging,25-34,Female
1411,Emerging,35-44,Female
1412,Affluent,35-44,Male
1413,Mass Market,25-34,Male
1414,Mass Market,18-24,Male
1415,Mass Market,25-34,Male
1416,Affluent,18-24,Female
1417,Affluent,35-44,Male
1418,Mass Market,35-44,Female
1419,Affluent,25-34,Female
1420,Emerging,25-34,Male
1421,Mass Market,18-24,Male
1422,Affluent,25-34,Female
1423,Mass Market,18-24,Male
1424,Mass Market,25-34,Female
1425,Mass Market,25-34,Male
1426,Mass Market,25-34,Female
1427,Emerging,35-44,Male
1428,Mass Market,35-44,Male
1429,Emerging,35-44,Female
1430,Affluent,25-34,Female
1431,Mass Market,25-34,Female
1432,Emerging,25-34,Female
1433,Affluent,25-34,Male
1434,Emerging,45-54,Female
1435,Affluent,35-44,Female
1436,Mass Market,35-44,Male
1437,Mass Market,25-34,Male
1438,Mass Market,55+,Male
1439,Mass Market,18-24,Male
1440,Affluent,18-24,Female
1441,Affluent,45-54,Male
1442,Mass Market,45-54,Male
1443,Mass Market,18-24,Female
1444,Emerging,45-54,Male
1445,Mass Market,25-34,Female
1446,Mass Market,25-34,Male
1447,Emerging,25-34,Female
1448,Mass Market,45-54,Male
1449,Affluent,25-34,Female
1450,Business,25-34,Male
1451,Mass Market,35-44,Female
1452,Affluent,45-54,Male
1453,Mass Market,35-44,Female
1454,Emerging,18-24,Female
1455,Affluent,25-34,Female
1456,Mass Market,55+,Male
1457,Mass Market,55+,Male
1458,Mass Market,25-34,Male
1459,Mass Market,35-44,Male
1460,Business,25-34,Male
1461,Affluent,45-54,Female
1462,Emerging,18-24,Male
1463,Affluent,35-44,Male
1464,Emerging,25-34,Male
1465,Mass Market,25-34,Female
1466,Mass Market,35-44,Female
1467,Mass Market,25-34,Male
1468,Mass Market,25-34,Female
1469,Mass Market,18-24,Female
1470,Emerging,18-24,Female
1471,Mass Market,18-24,Male
1472,Emerging,25-34,Male
1473,Emerging,18-24,Female
1474,Mass Market,35-44,Male
1475,Business,35-44,Male
1476,Mass Market,35-44,Female
1477,Mass Market,18-24,Female
1478,Mass Market,35-44,Female
1479,Emerging,35-44,Male
1480,Mass Market,35-44,Female
1481,Mass Market,45-54,Male
1482,Emerging,35-44,Female
1483,Mass Market,45-54,Male
1484,Mass Market,18-24,Male
1485,Mass Market,55+,Female
1486,Business,35-44,Male
1487,Emerging,25-34,Male
1488,Emerging,45-54,Male
1489,Mass Market,25-34,Female
1490,Emerging,45-54,Male
1491,Business,25-34,Male
1492,Affluent,35-44,Female
1493,Emerging,18-24,Female
1494,Affluent,35-44,Male
1495,Mass Market,35-44,Male
1496,Emerging,25-34,Female
1497,Mass Market,18-24,Female
1498,Mass Market,55+,Male
1499,Business,55+,Male
1500,Emerging,25-34,Female
1501,Emerging,55+,Male
1502,Emerging,45-54,Male
1503,Mass Market,45-54,Male
1504,Mass Market,35-44,Female
1505,Emerging,55+,Male
1506,Emerging,35-44,Female
1507,Mass Market,35-44,Male
1508,Mass Market,35-44,Male
1509,Mass Market,35-44,Male
1510,Mass Market,25-34,Female
1511,Mass Market,55+,Male
1512,Mass Market,45-54,Male
1513,Affluent,25-34,Male
1514,Emerging,45-54,Male
1515,Mass Market,18-24,Female
1516,Affluent,45-54,Female
1517,Affluent,35-44,Female
1518,Mass Market,18-24,Male
1519,Mass Market,45-54,Male
1520,Emerging,25-34,Female
1521,Emerging,35-44,Male
1522,Mass Market,55+,Female
1523,Mass Market,45-54,Female
1524,Mass Market,55+,Female
1525,Mass Market,35-44,Male
1526,Affluent,45-54,Female
1527,Mass Market,55+,Male
1528,Affluent,18-24,Male
1529,Mass Market,18-24,Male
1530,Emerging,25-34,Female
1531,Affluent,45-54,Male
1532,Emerging,35-44,Male
1533,Mass Market,35-44,Male
1534,Mass Market,55+,Male
1535,Emerging,35-44,Female
1536,Affluent,35-44,Female
1537,Mass Market,18-24,Female
1538,Emerging,35-44,Female
1539,Mass Market,35-44,Male
1540,Emerging,25-34,Female
1541,Mass Market,45-54,Female
1542,Mass Market,18-24,Male
1543,Mass Market,25-34,Male
1544,Emerging,25-34,Female
1545,Emerging,45-54,Female
1546,Mass Market,25-34,Female
1547,Mass Market,25-34,Male
1548,Mass Market,18-24,Male
1549,Mass Market,35-44,Male
1550,Affluent,18-24,Male
1551,Emerging,25-34,Female
1552,Mass Market,35-44,Male
1553,Mass Market,18-24,Female
1554,Mass Market,55+,Male
1555,Mass Market,18-24,Male
1556,Affluent,35-44,Male
1557,Mass Market,45-54,Male
1558,Affluent,35-44,Female
1559,Mass Market,25-34,Female
1560,Mass Market,35-44,Male
1561,Mass Market,45-54,Male
1562,Business,35-44,Male
1563,Business,25-34,Female
1564,Mass Market,55+,Female
1565,Mass Market,35-44,Male
1566,Mass Market,18-24,Male
1567,Mass Market,25-34,Female
1568,Mass Market,25-34,Female
1569,Mass Market,55+,Female
1570,Mass Market,25-34,Female
1571,Mass Market,35-44,Male
1572,Affluent,25-34,Female
1573,Business,35-44,Female
1574,Emerging,35-44,Male
1575,Mass Market,55+,Female
1576,Emerging,35-44,Female
1577,Emerging,18-24,Female
1578,Emerging,45-54,Male
1579,Emerging,18-24,Female
1580,Mass Market,18-24,Male
1581,Mass Market,35-44,Male
1582,Emerging,55+,Female
1583,Emerging,18-24,Male
1584,Mass Market,25-34,Female
1585,Mass Market,25-34,Male
1586,Affluent,25-34,Male
1587,Emerging,35-44,Female
1588,Emerging,35-44,Male
1589,Mass Market,35-44,Male
1590,Business,25-34,Male
1591,Mass Market,35-44,Male
1592,Mass Market,55+,Female
1593,Mass Market,18-24,Female
1594,Mass Market,55+,Female
1595,Business,45-54,Male
1596,Mass Market,35-44,Male
1597,Mass Market,25-34,Male
1598,Mass Market,35-44,Female
1599,Emerging,18-24,Female
1600,Emerging,25-34,Female
1601,Mass Market,35-44,Male
1602,Mass Market,35-44,Male
1603,Emerging,18-24,Female
1604,Affluent,25-34,Female
1605,Affluent,25-34,Male
1606,Business,25-34,Female
1607,Affluent,18-24,Female
1608,Mass Market,35-44,Female
1609,Affluent,18-24,Female
1610,Mass Market,55+,Female
1611,Mass Market,25-34,Female
1612,Business,55+,Female
1613,Mass Market,35-44,Male
1614,Business,25-34,Female
1615,Mass Market,25-34,Female
1616,Affluent,25-34,Male
1617,Mass Market,18-24,Male
1618,Mass Market,25-34,Female
1619,Emerging,35-44,Female
1620,Mass Market,45-54,Female
1621,Affluent,35-44,Male
1622,Emerging,25-34,Male
1623,Mass Market,25-34,Male
1624,Mass Market,45-54,Female
1625,Mass Market,35-44,Male
1626,Emerging,35-44,Male
1627,Mass Market,25-34,Male
1628,Mass Market,45-54,Female
1629,Mass Market,18-24,Female
1630,Mass Market,35-44,Male
1631,Mass Market,18-24,Female
1632,Emerging,25-34,Female
1633,Mass Market,35-44,Female
1634,Mass Market,25-34,Female
1635,Affluent,18-24,Male
1636,Emerging,18-24,Female
1637,Mass Market,35-44,Male
