DateKey,Year,Quarter,Month,MonthName,Week,Day,DayName,IsWeekend
2025-01-01,2025,1,1,January,1,1,Wednesday,0
2025-01-02,2025,1,1,January,1,2,Thursday,0
2025-01-03,2025,1,1,January,1,3,Friday,0
2025-01-04,2025,1,1,January,1,4,Saturday,1
2025-01-05,2025,1,1,January,1,5,Sunday,1
2025-01-06,2025,1,1,January,2,6,Monday,0
2025-01-07,2025,1,1,January,2,7,Tuesday,0
2025-01-08,2025,1,1,January,2,8,Wednesday,0
2025-01-09,2025,1,1,January,2,9,Thursday,0
2025-01-10,2025,1,1,January,2,10,Friday,0
2025-01-11,2025,1,1,January,2,11,Saturday,1
2025-01-12,2025,1,1,January,2,12,Sunday,1
2025-01-13,2025,1,1,January,3,13,Monday,0
2025-01-14,2025,1,1,January,3,14,Tuesday,0
2025-01-15,2025,1,1,January,3,15,Wednesday,0
2025-01-16,2025,1,1,January,3,16,Thursday,0
2025-01-17,2025,1,1,January,3,17,Friday,0
2025-01-18,2025,1,1,January,3,18,Saturday,1
2025-01-19,2025,1,1,January,3,19,Sunday,1
2025-01-20,2025,1,1,January,4,20,Monday,0
2025-01-21,2025,1,1,January,4,21,Tuesday,0
2025-01-22,2025,1,1,January,4,22,Wednesday,0
2025-01-23,2025,1,1,January,4,23,Thursday,0
2025-01-24,2025,1,1,January,4,24,Friday,0
2025-01-25,2025,1,1,January,4,25,Saturday,1
2025-01-26,2025,1,1,January,4,26,Sunday,1
2025-01-27,2025,1,1,January,5,27,Monday,0
2025-01-28,2025,1,1,January,5,28,Tuesday,0
2025-01-29,2025,1,1,January,5,29,Wednesday,0
2025-01-30,2025,1,1,January,5,30,Thursday,0
2025-01-31,2025,1,1,January,5,31,Friday,0
2025-02-01,2025,1,2,February,5,1,Saturday,1
2025-02-02,2025,1,2,February,5,2,Sunday,1
2025-02-03,2025,1,2,February,6,3,Monday,0
2025-02-04,2025,1,2,February,6,4,Tuesday,0
2025-02-05,2025,1,2,February,6,5,Wednesday,0
2025-02-06,2025,1,2,February,6,6,Thursday,0
2025-02-07,2025,1,2,February,6,7,Friday,0
2025-02-08,2025,1,2,February,6,8,Saturday,1
2025-02-09,2025,1,2,February,6,9,Sunday,1
2025-02-10,2025,1,2,February,7,10,Monday,0
2025-02-11,2025,1,2,February,7,11,Tuesday,0
2025-02-12,2025,1,2,February,7,12,Wednesday,0
2025-02-13,2025,1,2,February,7,13,Thursday,0
2025-02-14,2025,1,2,February,7,14,Friday,0
2025-02-15,2025,1,2,February,7,15,Saturday,1
2025-02-16,2025,1,2,February,7,16,Sunday,1
2025-02-17,2025,1,2,February,8,17,Monday,0
2025-02-18,2025,1,2,February,8,18,Tuesday,0
2025-02-19,2025,1,2,February,8,19,Wednesday,0
2025-02-20,2025,1,2,February,8,20,Thursday,0
2025-02-21,2025,1,2,February,8,21,Friday,0
2025-02-22,2025,1,2,February,8,22,Saturday,1
2025-02-23,2025,1,2,February,8,23,Sunday,1
2025-02-24,2025,1,2,February,9,24,Monday,0
2025-02-25,2025,1,2,February,9,25,Tuesday,0
2025-02-26,2025,1,2,February,9,26,Wednesday,0
2025-02-27,2025,1,2,February,9,27,Thursday,0
2025-02-28,2025,1,2,February,9,28,Friday,0
2025-03-01,2025,1,3,March,9,1,Saturday,1
2025-03-02,2025,1,3,March,9,2,Sunday,1
2025-03-03,2025,1,3,March,10,3,Monday,0
2025-03-04,2025,1,3,March,10,4,Tuesday,0
2025-03-05,2025,1,3,March,10,5,Wednesday,0
2025-03-06,2025,1,3,March,10,6,Thursday,0
2025-03-07,2025,1,3,March,10,7,Friday,0
2025-03-08,2025,1,3,March,10,8,Saturday,1
2025-03-09,2025,1,3,March,10,9,Sunday,1
2025-03-10,2025,1,3,March,11,10,Monday,0
2025-03-11,2025,1,3,March,11,11,Tuesday,0
2025-03-12,2025,1,3,March,11,12,Wednesday,0
2025-03-13,2025,1,3,March,11,13,Thursday,0
2025-03-14,2025,1,3,March,11,14,Friday,0
2025-03-15,2025,1,3,March,11,15,Saturday,1
